,mean,std,p10,median,p90,max,split
EURPrices,243.39175234598125,120.38737246565064,93.0,236.49,400.201,653.17,train
GasVarCost_EUR_per_MWh,83.93806829818212,28.653343987372004,49.70942067789,78.54462125750999,121.6138353993,167.01285701368502,train
spark_spread,159.45368404779913,97.84222050387883,43.402690348163006,153.2612106854475,291.54013004756666,491.2451334167199,train
DemandAggregatedForecast,4378.817013463892,809.3794700117181,3247.0,4447.0,5342.0,6766.0,train
WindAggregatedForecast,1525.8774653202775,1268.2981012961375,191.3884,1132.7065,3547.964700000001,5015.359,train
GasPrice_EUR_per_MWhth,76.22202644773155,39.07664535684636,29.04626681,71.07557892,125.69815189999998,194.95962133,train
CarbonPrice,79.49197674418605,7.9933091682967685,67.29,81.09,88.65,98.43,train
-24,242.94646674826598,120.75033374129335,92.282,236.035,400.201,653.17,train
-48,243.02441860465115,120.50928161132356,93.004,235.70999999999998,400.201,653.17,train
EURPrices,212.56436237502552,87.88377018717821,110.79,208.17,320.0,705.47,val
GasVarCost_EUR_per_MWh,81.37427447387039,18.72646013206275,57.77602587522,80.975501070165,99.79684581665998,151.198396474005,val
spark_spread,131.19008790115512,78.2046036265423,44.14806248100001,127.75383716315999,225.34315293398998,554.271603525995,val
DemandAggregatedForecast,4667.643134054275,870.0404152988285,3494.0,4729.0,5790.0,6764.0,val
WindAggregatedForecast,1853.0133587023058,1335.6788483797502,259.783,1614.313,3934.369,4931.732,val
GasPrice_EUR_per_MWhth,71.05525291232605,28.910463961751333,36.000841640000004,71.14884667,99.72619987999998,179.29790708999997,val
CarbonPrice,82.11897775964088,6.775482035394521,73.65,81.65,89.93,96.43,val
-24,213.05909814323604,87.50759855381624,112.0,208.7,320.0,705.47,val
-48,213.2892022036319,87.44188357053736,112.0,208.8,320.0,705.47,val
EURPrices,243.39175234598125,120.38737246565064,93.0,236.49,400.201,653.17,test
GasVarCost_EUR_per_MWh,83.93806829818212,28.653343987372004,49.70942067789,78.54462125750999,121.6138353993,167.01285701368502,test
spark_spread,159.45368404779913,97.84222050387883,43.402690348163006,153.2612106854475,291.54013004756666,491.2451334167199,test
DemandAggregatedForecast,4378.817013463892,809.3794700117181,3247.0,4447.0,5342.0,6766.0,test
WindAggregatedForecast,1525.8774653202775,1268.2981012961375,191.3884,1132.7065,3547.964700000001,5015.359,test
GasPrice_EUR_per_MWhth,76.22202644773155,39.07664535684636,29.04626681,71.07557892,125.69815189999998,194.95962133,test
CarbonPrice,79.49197674418605,7.9933091682967685,67.29,81.09,88.65,98.43,test
-24,242.94646674826598,120.75033374129335,92.282,236.035,400.201,653.17,test
-48,243.02441860465115,120.50928161132356,93.004,235.70999999999998,400.201,653.17,test
