episode,episode_return,starts,on_steps,cap_factor
1,67859.91468381738,2,87,0.44705778926610945
2,526182.1972069836,0,96,0.5412380256255468
3,800863.2912673549,1,88,0.4974974878629049
4,430513.0022945082,1,87,0.44509055515130364
5,-6790.40568529966,2,86,0.4299983788530032
6,738179.4703929706,1,86,0.45095887303352356
7,902045.3428841176,0,96,0.5072057493527731
8,6778.905897430383,2,83,0.3919973947604497
9,259700.6499222265,1,92,0.4604299674431483
10,95861.12350827143,2,78,0.3866143977642059
11,370851.43851090415,0,96,0.4801897011200587
12,880311.4766934274,1,94,0.48236819545427956
13,2541021.434501003,1,96,0.5471621592839558
14,-52152.31385101637,0,96,0.5414377137025197
15,-40421.74548817019,2,86,0.45659251272678375
16,3508.0760171813226,0,96,0.5633870702981949
17,1261291.482736361,1,90,0.5576033226648967
18,16732.207553591503,1,90,0.4277389792601268
19,957344.3677191432,1,92,0.5166818861166637
20,701478.1171553008,2,78,0.3889372338851293
21,40049.681846172534,1,87,0.4243576580286026
22,2484.8486602099383,1,89,0.475466915567716
23,155899.65378915277,1,89,0.47963862081368763
24,197319.3028192239,1,96,0.4997674298286438
25,32884.141817679156,1,87,0.47950055877367653
26,1454.636297741803,1,87,0.41993337790171303
27,1128372.2115067749,1,89,0.42385965168476103
28,199405.70934942865,1,87,0.46584248582522075
29,1330066.745413758,0,96,0.5327851547797521
30,31534.040850763893,2,86,0.46033465524514516
31,-36745.91384802085,1,94,0.5174112896124522
32,-54534.9389260911,1,96,0.4889849684635798
33,-16796.233941764545,2,82,0.37575544635454816
34,593445.9910242142,0,96,0.4962432857354482
35,-70135.5857507631,3,76,0.36467530131340026
36,749924.3083490357,1,91,0.5577864211797714
37,238421.57408660714,1,87,0.4640320813655853
38,109433.18602291762,0,96,0.4817293777068456
39,79734.58679266505,0,96,0.5774594062566757
40,103644.55301151243,1,93,0.5154642909765244
41,666672.7225206888,1,90,0.481895938316981
42,72328.49068963778,2,78,0.4112054903107011
43,375034.0581131768,3,69,0.322711121516096
44,138269.90365536266,3,32,0.0948329531137789
45,-52869.11750677451,3,34,0.08199534460426917
46,12766.450600131704,3,43,0.11268851851387869
47,26167.95106525934,2,34,0.12086197111144197
48,169654.2407590447,3,39,0.10984683180679894
49,-74576.9838974611,4,41,0.10304658576555094
50,167628.7217399411,2,32,0.10294277906315531
